"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.760636250E0,-7.160372380E-4,-4.184598254E-2,4.340271235E-2
2.770646250E0,-3.785907682E-2,-1.721314079E-2,2.678609490E-2
2.780625250E0,-6.860496098E-2,-2.638372424E-2,4.923881829E-2
2.790635250E0,-6.560964254E-2,-1.829430238E-2,6.255994499E-2
2.800614250E0,-5.563876027E-2,-8.203127361E-3,3.606387198E-2
2.810624250E0,-3.160190283E-2,8.948802673E-3,4.594215810E-2
2.820634250E0,-2.647037267E-2,4.265821104E-2,3.306834340E-2
2.830613250E0,-2.719277789E-2,5.487003414E-2,2.738017201E-2
2.840623250E0,-4.016077844E-4,5.039849474E-2,3.037336171E-2
2.850602250E0,1.395467252E-2,8.745431488E-3,4.713908315E-2
2.860612250E0,2.875069998E-2,-1.387505902E-2,4.354713857E-2
2.870622250E0,3.608976875E-2,-3.354827418E-2,3.082359731E-2
2.880601250E0,3.827195420E-2,-5.370741581E-2,4.564278066E-2
2.890611250E0,2.636260117E-2,-3.373996921E-2,3.441729605E-2
2.900590250E0,2.863950695E-2,-2.928092823E-2,3.771161735E-2
2.910600250E0,7.374348496E-3,8.446508576E-3,6.031578362E-2
2.920609250E0,-1.419877550E-3,1.396296368E-2,3.007924676E-2
2.930589250E0,-3.397858129E-2,1.537923469E-2,3.471901238E-2
2.940598250E0,-3.757122022E-2,-5.613160289E-3,3.606562614E-2
2.950578250E0,-4.342211322E-2,-1.363246352E-3,3.037570059E-2
2.960587250E0,-2.851500694E-2,4.968621251E-3,3.905589223E-2
2.970597250E0,-2.157705259E-2,-7.387194098E-3,3.306775868E-2
2.980577250E0,-2.649761704E-2,-2.402371720E-2,4.070071399E-2
2.990586250E0,-2.403527687E-2,-2.896416218E-2,4.459203601E-2
3.000566250E0,2.106011761E-3,1.177544265E-2,4.623861194E-2
3.010575250E0,2.635305377E-2,1.897864589E-3,3.246783435E-2
3.020585250E0,2.331035460E-2,-2.698142845E-3,3.591067493E-2
3.030564250E0,2.193804050E-2,1.467418611E-2,3.486402333E-2
3.040574250E0,3.433977476E-2,1.773111730E-2,2.543421865E-2
3.050553250E0,1.735161245E-4,1.313506419E-2,3.845772207E-2
3.060563250E0,1.514670052E-2,-1.274530158E-2,3.471550405E-2
3.070573250E0,-1.549783495E-2,-7.409290178E-3,4.384651601E-2
3.080552250E0,-3.186717913E-2,-2.734075813E-4,5.177884877E-2
3.090562250E0,-1.663472554E-2,-1.092278156E-3,3.561188221E-2
3.100541250E0,-5.099994026E-2,6.243615760E-3,4.429265857E-2
3.110551250E0,-2.862321240E-2,2.200889231E-2,4.294546008E-2
3.120561250E0,-2.250552648E-2,3.207247121E-2,2.722755969E-2
3.130540250E0,2.156087682E-3,-2.569280262E-3,3.590892076E-2
3.140550250E0,-1.024021050E-3,2.120039140E-2,4.952942491E-2
3.150529250E0,2.723908053E-2,2.384275729E-2,4.144623399E-2
3.160539250E0,2.385050942E-2,3.135121716E-3,3.051954210E-2
3.170548250E0,1.855780168E-2,-1.702008903E-2,4.159592271E-2
3.180528250E0,1.529319154E-2,2.756409436E-3,4.099775255E-2
3.190537250E0,2.033931124E-2,-1.132295495E-2,3.381327868E-2
3.200517250E0,1.782628759E-3,-1.264517943E-2,5.327281237E-2
3.210526250E0,-2.009656043E-2,-2.208162619E-2,4.488965929E-2
3.220536250E0,-2.709930466E-2,-8.073321457E-3,1.599915147E-2
3.230515250E0,-2.870283960E-2,-6.251952611E-3,3.725553453E-2
3.240525250E0,-3.820858957E-2,7.581070410E-3,3.426176012E-2
3.250504250E0,-5.134089688E-2,4.809177273E-3,3.201584458E-2
3.260514250E0,-6.379217260E-2,5.601436165E-3,3.830218613E-2
3.270493250E0,-2.374411751E-2,-4.531190135E-3,4.818164170E-2
3.280503250E0,-2.225291306E-2,4.924113890E-3,4.339160264E-2
3.290513250E0,-2.988009425E-3,-9.363628363E-3,4.952825546E-2
3.300492250E0,2.917577428E-2,-1.580610656E-2,4.249230087E-2
3.310502250E0,2.093275338E-2,2.189951283E-2,3.246432602E-2
3.320481250E0,3.916136595E-2,3.704400694E-3,4.803253770E-2
3.330491250E0,4.478437286E-2,2.227961839E-2,5.402008653E-2
3.340501250E0,5.878416030E-3,8.263202934E-3,2.872327745E-2
3.350480250E0,7.081010132E-3,-1.119897571E-2,5.117717028E-2
3.360490250E0,-2.477775905E-3,-2.110895100E-2,4.563927233E-2
3.370469250E0,-2.118966999E-2,-2.362070471E-2,4.429265857E-2
3.380479250E0,-3.321984567E-2,3.192780744E-3,3.575981677E-2
3.390489250E0,-2.553102661E-2,9.135228354E-3,5.836281359E-2
3.400468250E0,-2.663978660E-2,6.664174462E-3,3.994993150E-2
3.410478250E0,-2.564022336E-2,4.407647147E-3,4.024872422E-2
3.420457250E0,3.676957609E-3,7.100180320E-3,3.066864610E-2
3.430417042E0,8.706134087E-3,-1.468138777E-2,3.920031846E-2
3.440426042E0,8.023448819E-3,-8.082727252E-3,4.848101914E-2
3.450406042E0,1.712904367E-2,1.319759513E-2,2.572891831E-2
3.460415042E0,8.496716972E-3,-1.608433352E-2,3.411207139E-2
3.470395042E0,-1.515427449E-2,-3.106125465E-3,2.782572985E-2
3.480404042E0,-5.841231393E-3,6.438085930E-3,3.920324206E-2
3.490414042E0,-1.515146052E-2,-5.263983300E-3,3.995227039E-2
3.500393042E0,-8.215105017E-3,-1.420172880E-2,4.594040394E-2
3.510403042E0,-8.642915636E-6,-1.407813099E-3,3.097094715E-2
3.520382042E0,-1.835166905E-2,1.470394295E-2,2.064301014E-2
3.530392042E0,-1.266066542E-2,-6.006696175E-3,3.815600574E-2
3.540402042E0,-8.687719926E-3,2.791090733E-3,1.270833850E-2
3.550381042E0,-2.409123655E-2,2.313048877E-2,5.012993395E-2
3.560391042E0,-9.249212514E-3,-1.135107869E-2,3.905238390E-2
3.570370042E0,1.012798050E-2,-9.280371778E-3,2.722580552E-2
3.580380042E0,1.295629699E-2,2.133891103E-3,5.446856797E-2
3.590390042E0,2.205596239E-2,-1.877464658E-2,3.920031846E-2
3.600369042E0,1.339102834E-2,-2.354574158E-2,3.605685532E-2
3.610379042E0,3.081357939E-2,-2.122725662E-2,4.893008530E-2
3.620358042E0,4.869384408E-2,-1.741134541E-2,3.575806260E-2
3.630368042E0,1.127795423E-3,1.457350893E-2,5.806226671E-2
3.640378042E0,3.059768922E-2,-2.103729977E-3,3.935117662E-2
3.650357042E0,8.500736933E-3,-2.091055680E-3,2.513016343E-2
3.660367042E0,-6.128498702E-3,1.162502531E-2,3.441086411E-2
3.670346042E0,-2.557576695E-3,1.287806307E-2,5.776171982E-2
3.680356042E0,-1.962105389E-2,2.148709683E-2,1.944140732E-2
3.690365042E0,-2.362113412E-2,1.075337220E-2,5.701269150E-2
3.700345042E0,-3.730160876E-2,-8.205562178E-4,4.338984847E-2
3.710354042E0,-2.219403891E-2,-1.372986763E-2,4.533580184E-2
3.720334042E0,-1.027468166E-2,-1.137962955E-2,4.234085798E-2
3.730343042E0,1.777690602E-3,-2.244056300E-3,3.934649885E-2
3.740353042E0,5.782019198E-3,1.527455354E-2,4.713148177E-2
3.750332042E0,5.299491431E-3,1.541125505E-2,4.892833114E-2
3.760342042E0,9.742964194E-3,7.100328784E-3,3.006755233E-2
3.770321042E0,2.052525727E-2,-2.560959400E-3,4.997673690E-2
3.780331042E0,-7.437110133E-4,-1.527922218E-2,4.443883896E-2
3.790341042E0,8.305467339E-3,-1.598147278E-2,4.698354721E-2
3.800320042E0,-2.008036638E-2,-1.643022602E-2,2.946996689E-2
3.810330042E0,-1.500267629E-2,1.720251302E-2,2.632650375E-2
3.820309042E0,-7.257025028E-3,2.625710461E-3,4.039724350E-2
3.830319042E0,-1.335532834E-2,1.632564994E-2,4.698354721E-2
3.840329042E0,-1.453087907E-3,9.177419669E-3,3.845070541E-2
3.850308042E0,-1.860135430E-2,5.523302746E-3,4.653389633E-2
3.860318042E0,-2.397206299E-2,-2.254139093E-2,2.991844833E-2
3.870297042E0,-1.852257220E-2,-1.788678800E-2,3.560603499E-2
3.880307042E0,-2.049812253E-2,2.003274127E-2,3.680412948E-2
3.890317042E0,-1.846928945E-2,-7.978993992E-3,4.249230087E-2
3.900296042E0,-3.583160047E-3,7.298558531E-4,6.045494735E-2
3.910306042E0,-1.147250663E-2,9.679937605E-3,4.054693222E-2
3.920285042E0,-2.616326594E-2,-1.386790532E-2,4.458852768E-2
3.930295042E0,-1.890523592E-4,7.468899800E-3,3.710467637E-2
3.940304042E0,1.735520757E-2,1.731546478E-2,3.066806138E-2
3.950284042E0,4.599388769E-2,1.853833456E-2,5.985677719E-2
