"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.478421042E0,-4.999603271E-2,3.263214111E-2,9.849068756E0
3.488156042E0,-5.957611084E-2,2.080673218E-2,9.849817200E0
3.497891042E0,-5.284011841E-2,1.167572021E-2,9.855804749E0
3.507626042E0,-4.460723877E-2,2.439926147E-2,9.840835876E0
3.517361042E0,-6.301895142E-2,4.041595459E-2,9.830507355E0
3.527096042E0,-5.733078003E-2,1.960922241E-2,9.848020935E0
3.536831042E0,-5.313949585E-2,2.844085693E-2,9.822573853E0
3.546567042E0,-6.810836792E-2,4.939727783E-2,9.859996033E0
3.556302042E0,-5.298980713E-2,1.511856079E-2,9.848919067E0
3.566006042E0,-3.338058472E-2,1.721420288E-2,9.837093658E0
3.575741042E0,-3.038681030E-2,2.859054565E-2,9.864337006E0
3.585476042E0,-2.140548706E-2,7.634124756E-3,9.849068756E0
3.595212042E0,-2.993774414E-2,2.993774414E-3,9.845925293E0
3.604947042E0,-1.242416382E-2,5.388793945E-3,9.858798523E0
3.614682042E0,5.388793945E-3,9.280700684E-3,9.845625916E0
3.624417042E0,-4.236190796E-2,4.131408691E-2,9.867929535E0
3.634152042E0,-1.287322998E-2,2.454895020E-2,9.849218445E0
3.643887042E0,-3.487747192E-2,2.454895020E-2,9.834998016E0
3.653622042E0,-4.939727783E-2,3.847000122E-2,9.844278717E0
3.663357042E0,-4.565505981E-2,3.981719971E-2,9.867630157E0
3.673092042E0,-6.286926270E-2,4.819976807E-2,9.829309845E0
3.682797042E0,-6.676116943E-2,3.742218018E-2,9.866881714E0
3.692532042E0,-8.023315430E-2,2.574645996E-2,9.853260040E0
3.702267042E0,-6.511459351E-2,1.272354126E-2,9.855205994E0
3.712002042E0,-5.298980713E-2,1.496887207E-2,9.852212219E0
3.721737042E0,-4.101470947E-2,2.395019531E-2,9.849218445E0
3.731473042E0,-3.712280273E-2,4.161346436E-2,9.857002258E0
3.741208042E0,-3.787124634E-2,4.146377563E-2,9.858798523E0
3.750943042E0,-3.353027344E-2,3.308120728E-2,9.839937744E0
3.760678042E0,-1.167572021E-2,3.832031250E-2,9.849517822E0
3.770413042E0,-2.275268555E-2,2.365081787E-2,9.859846344E0
3.780118042E0,-4.400848389E-2,1.107696533E-2,9.854307861E0
3.789853042E0,-3.502716064E-2,1.032852173E-2,9.856852570E0
3.799588042E0,-6.331832886E-2,1.002914429E-2,9.839338989E0
