"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.784142761E2,1.787041473E1,1.883095932E1,-4.564007568E1
1.784242851E2,1.786414337E1,1.888235855E1,-4.593121338E1
1.784342651E2,1.786414337E1,1.888235855E1,-4.593121338E1
1.784442741E2,1.798163605E1,1.891530991E1,-4.591033936E1
1.784542841E2,1.798163605E1,1.891530991E1,-4.591033936E1
1.784642631E2,1.788631439E1,1.894233322E1,-4.589941406E1
1.784742731E2,1.788631439E1,1.894233322E1,-4.589941406E1
1.784842831E2,1.767620087E1,1.898492050E1,-4.578021240E1
1.784942621E2,1.767620087E1,1.898492050E1,-4.578021240E1
1.785042721E2,1.761312103E1,1.879014206E1,-4.594403076E1
1.785142511E2,1.761312103E1,1.879014206E1,-4.594403076E1
1.785242611E2,1.784217072E1,1.873247910E1,-4.582757568E1
1.785342711E2,1.784217072E1,1.873247910E1,-4.582757568E1
1.785442501E2,1.795178986E1,1.895823288E1,-4.584173584E1
1.785542601E2,1.795178986E1,1.895823288E1,-4.584173584E1
1.785642701E2,1.765879059E1,1.891926193E1,-4.569317627E1
1.785742196E2,1.765879059E1,1.891926193E1,-4.569317627E1
1.785842296E2,1.781555939E1,1.881039810E1,-4.591662598E1
1.785942386E2,1.781555939E1,1.881039810E1,-4.591662598E1
1.786042186E2,1.768895721E1,1.875343704E1,-4.596942139E1
1.786142276E2,1.768895721E1,1.875343704E1,-4.596942139E1
1.786242076E2,1.772611237E1,1.890509415E1,-4.588958740E1
1.786342166E2,1.772611237E1,1.890509415E1,-4.588958740E1
1.786442266E2,1.794802094E1,1.894048691E1,-4.575262451E1
1.786542056E2,1.794802094E1,1.894048691E1,-4.575262451E1
1.786642156E2,1.790787506E1,1.893837357E1,-4.568194580E1
1.786742256E2,1.790787506E1,1.893837357E1,-4.568194580E1
1.786842046E2,1.793802643E1,1.899714279E1,-4.586621094E1
1.786942146E2,1.793802643E1,1.899714279E1,-4.586621094E1
1.787042246E2,1.768378448E1,1.904329300E1,-4.542352295E1
1.787142036E2,1.768378448E1,1.904329300E1,-4.542352295E1
1.787242136E2,1.768737030E1,1.898537064E1,-4.588311768E1
1.787341926E2,1.768737030E1,1.898537064E1,-4.588311768E1
1.787442026E2,1.808083344E1,1.901215744E1,-4.580065918E1
1.787542116E2,1.808083344E1,1.901215744E1,-4.580065918E1
1.787641916E2,1.802454376E1,1.875579453E1,-4.593609619E1
1.787742006E2,1.802454376E1,1.875579453E1,-4.593609619E1
1.787842106E2,1.813956451E1,1.885136032E1,-4.591632080E1
1.787941896E2,1.813956451E1,1.885136032E1,-4.591632080E1
1.788041996E2,1.795691681E1,1.892557144E1,-4.572503662E1
1.788141786E2,1.795691681E1,1.892557144E1,-4.572503662E1
1.788241886E2,1.791652679E1,1.871288681E1,-4.593505859E1
1.788341986E2,1.791652679E1,1.871288681E1,-4.593505859E1
1.788441776E2,1.812490082E1,1.898498917E1,-4.590612793E1
1.788541876E2,1.812490082E1,1.898498917E1,-4.590612793E1
1.788641976E2,1.809819794E1,1.899669266E1,-4.586065674E1
1.788741766E2,1.809819794E1,1.899669266E1,-4.586065674E1
1.788841866E2,1.779280853E1,1.887849045E1,-4.589050293E1
1.788941966E2,1.779280853E1,1.887849045E1,-4.589050293E1
1.789041756E2,1.771785736E1,1.885870743E1,-4.561114502E1
1.789141856E2,1.771785736E1,1.885870743E1,-4.561114502E1
1.789241646E2,1.768753815E1,1.887255478E1,-4.568139648E1
1.789341746E2,1.768753815E1,1.887255478E1,-4.568139648E1
1.789441836E2,1.786135101E1,1.892954636E1,-4.572735596E1
1.789541636E2,1.786135101E1,1.892954636E1,-4.572735596E1
1.789641726E2,1.781723785E1,1.884911728E1,-4.572766113E1
1.789741826E2,1.781723785E1,1.884911728E1,-4.572766113E1
1.789841616E2,1.786835480E1,1.883946609E1,-4.577435303E1
1.789941716E2,1.786835480E1,1.883946609E1,-4.577435303E1
1.790041506E2,1.788951874E1,1.911509323E1,-4.588208008E1
1.790141606E2,1.788951874E1,1.911509323E1,-4.588208008E1
1.790241706E2,1.763603973E1,1.892493820E1,-4.554656982E1
1.790341496E2,1.763603973E1,1.892493820E1,-4.554656982E1
1.790441596E2,1.793367767E1,1.889768600E1,-4.569512939E1
1.790541696E2,1.793367767E1,1.889768600E1,-4.569512939E1
1.790641486E2,1.791381073E1,1.903260422E1,-4.572668457E1
1.790741586E2,1.791381073E1,1.903260422E1,-4.572668457E1
1.790841686E2,1.779895782E1,1.886074448E1,-4.580535889E1
1.790941476E2,1.779895782E1,1.886074448E1,-4.580535889E1
1.791041576E2,1.812645721E1,1.893626785E1,-4.580316162E1
1.791141366E2,1.812645721E1,1.893626785E1,-4.580316162E1
1.791241466E2,1.773511505E1,1.879263687E1,-4.571520996E1
1.791341556E2,1.773511505E1,1.879263687E1,-4.571520996E1
1.791441356E2,1.780338287E1,1.898932266E1,-4.578979492E1
1.791541446E2,1.780338287E1,1.898932266E1,-4.578979492E1
1.791641546E2,1.790877533E1,1.906986618E1,-4.594360352E1
1.791741336E2,1.790877533E1,1.906986618E1,-4.594360352E1
1.791841436E2,1.787699127E1,1.888445663E1,-4.574291992E1
1.791941226E2,1.787699127E1,1.888445663E1,-4.574291992E1
1.792041326E2,1.788280487E1,1.888206100E1,-4.585089111E1
1.792141426E2,1.788280487E1,1.888206100E1,-4.585089111E1
1.792241216E2,1.759247589E1,1.880366135E1,-4.577661133E1
