Time (s),X (hPa)
1654802918443152896,985.0823212000001
1654802919509172992,985.0823212000001
1654802920575192064,985.0823212000001
1654802921641233920,985.0822448999999
1654802922707269888,985.0817870999999
1654802923773285888,985.0817870999999
1654802924839343872,985.0811767999999
1654802925905361920,985.0811767999999
1654802926971385088,985.0788879
1654802928037469952,985.0763701999999
1654802929103545088,985.0751495
1654802930169623808,985.0751495
1654802931235642112,985.0756072999999
1654802932301706752,985.0787354
1654802933367749120,985.0814056
1654802934433851904,985.0827026000001
1654802935499930880,985.0829315
1654802936565996032,985.0833892999999
1654802937632026880,985.0833892999999
1654802938698088960,985.0833892999999
1654802939764145920,985.0831604
1654802940830249728,985.0831604
1654802941896333056,985.0845337000001
1654802942962413824,985.0846863
1654802944028483072,985.0872803
1654802945094561024,985.0901031
1654802946160659712,985.0928497000001
1654802947226758912,985.0952911
1654802948292851968,985.0984192
1654802949358934016,985.0987243999999
1654802950424965888,985.0987243999999
1654802951491069696,985.0975037000001
1654802954737073664,985.1332092
1654802955769830656,985.1338196
1654802956802587392,985.1343536
1654802957835339520,985.1344299000001
1654802958868102656,985.1366425000001
1654802959060491520,985.1371765
1654802960126602496,985.1382446
1654802961192722688,985.1382446
1654802962258840576,985.1382446
1654802963324953600,985.138092
1654802964391085568,985.1377106000001
1654802965457229568,985.1369476
1654802966523318528,985.1369476
1654802967589409536,985.1372527999999
1654802968655506688,985.1372527999999
1654802969721632512,985.1364136
1654802970787773696,985.1361083999999
1654802971853930496,985.1350402999999
1654802972920091648,985.1330565999999
1654802973986279424,985.1330565999999
1654802975052404480,985.1330565999999
1654802976118545408,985.1334381000001
1654802977184662528,985.1335907
1654802978250793728,985.1350402999999
1654802979316964608,985.1374817
1654802980383118592,985.138855
1654802981449284608,985.1404572
1654802982515438592,985.1409149
1654802983581544704,985.1419066999999
1654802984647637504,985.1421356000001
1654802985713708544,985.144043
1654802986779844608,985.1473999
1654802987845970688,985.1502228
1654802988912102656,985.1507568
1654802989978210816,985.1509094
1654802991044261632,985.1509094
1654802992110299648,985.1499938999999
1654802993176429568,985.1483153999999
1654802994242566656,985.1477814
1654802995308655616,985.1477814
1654802996374776576,985.1483917000002
1654802997440926720,985.1491547
1654802998507066624,985.1491547
1654802999573127424,985.1504517000001
1654803000639199488,985.1522827
1654803001705288704,985.1528168
1654803002771355648,985.1540375
1654803003837438720,985.1541901
1654803004903580672,985.1541901
1654803005969674496,985.1522064
1654803007035794432,985.1519775
1654803008101927424,985.1519012
1654803009168039680,985.1507568
1654803010234135552,985.1485443
1654803011300235520,985.1463318
1654803012366315520,985.1438141000001
1654803013432389376,985.1409912
1654803014498449664,985.1409912
1654803015564436736,985.1413727
1654803016630471680,985.1413727
1654803017696569600,985.1410675000001
1654803018762644480,985.1409149
1654803019828755712,985.1398468
1654803020894879488,985.1387787000001
